<http://purl.obolibrary.org/obo/RO_0002353>	<https://w3id.org/biolink/vocab/is_output_of>	exact
<http://purl.obolibrary.org/obo/RO_0002354>	<https://w3id.org/biolink/vocab/is_output_of>	narrow
<http://purl.obolibrary.org/obo/emapa#located_in>	<https://w3id.org/biolink/vocab/located_in>	exact
<http://purl.obolibrary.org/obo/RO_0001018>	<https://w3id.org/biolink/vocab/located_in>	broad
<http://purl.obolibrary.org/obo/RO_0001025>	<https://w3id.org/biolink/vocab/located_in>	exact
<http://purl.obolibrary.org/obo/RO_0001015>	<https://w3id.org/biolink/vocab/location_of>	exact
<http://purl.obolibrary.org/obo/RO_0001019>	<https://w3id.org/biolink/vocab/location_of>	broad
<http://purl.obolibrary.org/obo/BFO_0000066>	<https://w3id.org/biolink/vocab/occurs_in>	exact
<http://purl.obolibrary.org/obo/RO_0002479>	<https://w3id.org/biolink/vocab/occurs_in>	broad
<http://purl.obolibrary.org/obo/RO_0002131>	<https://w3id.org/biolink/vocab/overlaps>	exact
<http://purl.obolibrary.org/obo/BFO_0000050>	<https://w3id.org/biolink/vocab/part_of>	exact
<http://purl.obolibrary.org/obo/RO_0000056>	<https://w3id.org/biolink/vocab/participates_in>	exact
<http://purl.obolibrary.org/obo/RO_0000052>	<https://w3id.org/biolink/vocab/phenotype_of>	close
<http://purl.obolibrary.org/obo/UPHENO_0000001>	<https://w3id.org/biolink/vocab/phenotype_of>	exact
<http://purl.obolibrary.org/obo/BFO_0000062>	<https://w3id.org/biolink/vocab/preceded_by>	exact
<http://purl.obolibrary.org/obo/BFO_0000063>	<https://w3id.org/biolink/vocab/precedes>	exact
<http://purl.obolibrary.org/obo/RO_0002411>	<https://w3id.org/biolink/vocab/precedes>	narrow
<http://purl.obolibrary.org/obo/RO_0002211>	<https://w3id.org/biolink/vocab/regulates>	narrow
<http://purl.obolibrary.org/obo/RO_0002448>	<https://w3id.org/biolink/vocab/regulates>	narrow
<http://purl.obolibrary.org/obo/RO_0011002>	<https://w3id.org/biolink/vocab/regulates>	exact
<http://purl.obolibrary.org/obo/RO_0002222>	<https://w3id.org/biolink/vocab/temporally_related_to>	exact
